id,cleaned_description
3818,strikes mission build connected financial world strike allows users send receive money anywhere instantly added fees strike built top bitcoin network largest global interoperable open payments standard strike believes open payment networks enable universal participation financial system ushering new digital economy truly borderless money transfers strike leverages bitcoins open payment network offer users first global peertopeer payments app novel bitcoinnative payments experience role love bitcoin strike dont see right role right submit resume join talent network contact future openings please know hire skills teamwork passion credentials founder college dropout employ high school dropouts phd holders
3687,role us toddle mission help schools around world deliver better learning team 2x founders founding toddle set network preschools schools india continue operate preschools schools gives us unique vantage point challenges faced schools belief real impact education achieved improving schools thats children spend 80 learning time school schools stay schools teaching learning also play pivotal social role lives edtech companies trying solve education working outside school system think focus needs taking schools next level first product collaboration platform teaching teams say toddle teaching figma design current version toddle empowers teachers work together better across stages teachinglearning process right curriculum planning assessments progresstracking family communication key facts us currently used 1500 schools 40000 teachers 100 countries global revenue 40 americas 30 emea 30 apac nrr 115 nps 70 annual churn 5 inbound led gtm motion fuelled positive word mouth love solving creating delightful experiences help teaching teams collaborate better effective building tools help teachers personalise learning students helping teachers around world connect meaningfully series stage right growing fast saas edtech space funded sequoia matrix beenext better capital among others heres youll looking passionate skilled frontend engineer one partners us creating beautiful products teachers students parents alike frontend engineer play major role designing developing deploying highquality web platforms multifaceted role get opportunity work along curriculum experts teachers students usertest product real school settings must skills languages frameworks es6 html5css3 react redux tooling git basics chrome dev tools good working knowledge graphql apollo serverclient experience nodejs express sql tooling webpack someone looks like education bebtech degree soft skills bias towards action good sense design empathy good communication skills deeply value building right culture toddle things look hire coachability curiosity ownership hustle humility excited role benefits flexibility work work anywhere home coworking space cafe even hills block nomeeting hours enable uninterrupted focused work exposure diverse learning opportunities work across different projects teams develop skills outside core expertise access small budget towards learning eg books online courses substacks industry best leave policy trust fully commitment mission judgement planning time taking leaves cap number sick casual leaves special paid leaves childbirth wedding etc circumstance feel burnt little something bell curve performance evaluations put lot work hire best therefore dont expect anyone deliver less best yes super fun diverse group folks collaborate grow
3683,whatnot whatnot livestream shopping platform marketplace backed andreessen horowitz combinator capitalg building future ecommerce bringing together community shopping entertainment committed values whether working remotely one offices building team experience top tech retail payments platforms world innovating fastpaced world live auctions categories including sports fashion video games streetwear platform couples rigorous seller vetting focus community create welcoming space buyers sellers share passions others growing whatnot fastest growing marketplace us past two years hiring forwardthinking problem solvers across functional areas opportunity size retail disruption one largest opportunities startup space today livestream shopping taking around world 300b gmv market china thats grown 100 yoy whatnot bringing world communityfirst approach starting us retail 5t market opportunity role looking intellectually curious highly motivated individuals join us 12week remote internship summer 2024 interns work crossfunctional multidisciplinary teams enabling directly impact direction platform code ideas contribute solving complex technical challenges face today define future engineering initiatives sample projects might work building new features users livestreams implementing growth tactics strategies scale buyer seller flows building systems scale help us deliver high trust marketplace experience end internship contributed one fastest growing marketplaces ever gaining core industry skills project ideation management collaboration curious thrives whatnot weve found low ego growth mindset leaning action high impact goes long way next engineering intern industry software engineering experience plus pursuing degree computer science related major graduating 2025 problem solver outofthebox thinker willing take risks build product systems 1m users ability pick new technologies quickly benefits competitive pay 11 mentorship work home support eoe whatnot proud equal opportunity employer value diversity discriminate basis race religion color national origin gender sexual orientation age marital status veteran status parental status disability status status protected local law believe work better company culture improved encourage support respect different skills experiences represented within workforce
3663,blockchain consensus engineer mainnet team lukso youll working core tech layer 1 blockchain consensus layer based eth2 proof stake consensus developing maintaining network protocols consensus algorithms latest achievements sharding research surrounded experienced team professionals learn quick pace become expert area lukso focused bringing blockchain technology next frontier new tools standards revolutionize way world interacts blockchain creators users able seamless web3 experience luksos futureproof solutions welcome talent around world join us building innovative tools new creative economylukso cofounded chief blockchain architect fabian vogelsteller author erc20 erc725 web3js mist browser former lead dapp develope apply work remotely lukso
3662,looking energetic selfstarter wants build something big impactful ground get excited taking big challenge charlie building future banking coming wave millions tech comfortable retirees deserve bank built ground unique needs bank dont get line bank comes seeking highly skilled frontend engineer join team role responsible creating simple transparent delightful banking experience tech comfortable retirees collaborating everyone tech product team architect build new systems ground well maintain existing systems unique challenging role provide immense opportunity design develop widereaching tools earlystage startup expect every member team rollup sleeves needed deliver amazing customer experience youd joining highly experienced group founders including ceo kevin nazemi served cofounder coceo oscar health nyse oscr company financially supported respected fintech investors responsibilities architect develop test integrate document complex frontend applications champion design development application software delivering welltested high quality highly optimized highly performant software demonstrate strong attention detail understanding ux visual design concepts provide thought leadership frontend technologies overall impact creative process understand use cases advanced design patterns implement efficient code understand implement rest api standards drive apiservice adoption follow test driven development approach collaborate crossfunctional teams business stakeholders estimate requirements eg story pointing incremental agile delivery prioritize based business value anticipate communicate blockers delays require escalation follow agreedupon coding standards integration methodologies closely facilitate working growing distributed global team participate actively design code review sessions advocate innovation adhere software development life cycle sdlc best practices write easily maintainable code anyone else work effortlessly continuously maintain improve work promptly effectively resolve bugs collaborate closely customer service team resolve customer issues quickest possible turnaround time qualifications 5 years solid experience working javascripttypescript applications built modern javascript framework react angular vue ember use angular 16 experience angular required long willing learn use job excellent html5 css3 skills advocacy towards embracing test driven development tdd experience ui testing automation frameworks ability work quickly maintaining strong attention detail accuracy experience creating accessible ada compliant responsive web interfaces added bonus excellent interpersonal communication skills team player respects diversity multitude cultures team must benefits equity ownership competitive compensation medical vision dental coverage us employees 401k company match us employees three weeks annual vacation 8 observed holidays ethos treat every customer parents value integrity empathy work earn trust customers community choices make every day caring customers center everything us
3536,job description fullstack engineer syndr develop highperformance trading interfaces apis rest websockets build critical trading infrastructure support trade execution order matching risk management settlements data analytics relationship key stakeholders shape platforms requirements roadmap priorities take charge system design architecture implementation adhering industry best practices work efficiently tight deadlines deliver essential business solutions tools analytics ideal candidate 4 years experience javascripttypescript nextjs react node chakraui python ability create responsive design systems scratch expert knowledge sqlbased databases experience building securing scaling documenting deploying apis rest websockets familiarity dynamic fastpaced environment proficiency microservices architecture skilled jupyter notebooks postman postgres strong maths statistics problemsolving youll stand experience go programming knowledge web3 libraries ethersweb3py ab testing experience background financial services tradficryptodefi trading experience knowledge derivatives futures options perpetuals experience nontrading defi products like swaps lending etc experience trading systems infrastructure benefits chance work small focused ambitious team fascinating projects offering levels responsibility ownership wont find elsewhere culture informal nonhierarchical ambitious professional collaborative entrepreneurial shared mission everyone passionate opportunities work latest technology tools web3 stack dedicated budgets flexible working hours healthy worklife balance annual team retreats bonding relaxation competitive salaries compensation packages
3534,job description backend engineer role involves building trading infrastructure support various platform functionalities like trade execution order matching writing robust lowlatency code handle massive trading volumes developing performancedriven communication layers internal networking constructing maintaining highperformance apis rest websockets enhancing platform continuous optimization testing maintenance adding refining platform api documentation spearheading implementation new exchange features managing project elements based technical acumen influencing team providing mentorship design coding standards collaborating firms pentesting security audits ideal candidate looking someone essential requirements 4 years handson experience languages like javascript typescript nodejs go python redis solid command linux environments proficiency git expertise kafka building scaling robust data pipelines integration cloud services construction cicd pipelines docker utilization database management sql including upgrades delivery highperformance apis using rest websockets confidence system design architecture implementation analytical mindset proficiency maths statistics ability rapidly learn master new technologies candidates particularly stand background creating toptier products within finance security sectors trading experience including familiarity derivatives futures options perpetuals defi products swaps lending etc involvement trading systems infrastructure computer science degree related experience comfort udp developing fix apis benefits joining team means embracing fastpaced constantly evolving crypto space committed excellence autonomy encouraging team address challenges headon isnt perfect mindset expect experience sense extreme ownership success integral teams performance opportunity work longterm objectives clear communication grasp role purpose transparency open communication egofree atmosphere promotes mutual accountability structured meetings clear agendas actionable outcomes prioritization usercentric tasks without compromising broader goals values offer competitive salaries chance part disruptive team defi space
3522,job description join safe team mission establish secure decentralized custody protocols unlock digital ownership globally flagship wallet safewallet ethereum evm ecosystems senior typescript sdk developer youll crucial part safecore team contribute designing advancing typescript development tools focused crafting new sdk kits enhancing existing ones developing integrations simplify use account abstraction safe protocol key responsibilities develop new sdk kits improved interaction account abstraction safe build integrations thirdparty services refine existing kits adding innovative features providers analyze design valuecapture mechanisms integration level offer support developers sdk usage document sdk integrations comprehensively engage collaboration safewallet team enhance user experience integrations tech stack javascript typescript node jest explore github repositories safe core sdk safe apps sdk ideal candidate youll need proficiency typescript nodejs environments ability scrutinize thirdparty libraries report strengths weaknesses skills debugging testing issue resolution track record maintaining widelyused projects productionenvironment project experience indepth testing knowledge bonus points react development experience familiarity web3 tools web3js ethersjs hardhat experience tenderly blockchain transaction simulation proficiency cypress endtoend testing benefits provide personal education conference budgets research time friday afternoons side project work within ecosystem flexible work schedules token allocation team members annual company retreats access full node coworking office space berlin join safe experience rapid growth fastevolving industry initiative proactive attitude pave way limitless opportunities safe committed inclusive environment empowering employees regardless background proud equal opportunity employer apply english resume grow along us
3518,job description focus monitoring supporting production trading applications infrastructure respond quickly technical issues affecting users trading syndr establish sre subject matter expert enabling crossfunctional teams code build ship rapidly critical parts software development life cycle building pipelines testing deployment proactively identify propose improve areas sdlc accountable cloudnative deployment environments across dev staging production maintain secure optimize platform infrastructure maintain high reliability target zero downtime work pentesting software security audit firms ideal candidate requirements professional experience devopssre role expert knowledge linux docker experience cicd pipelines aws erc ecs clusters kubernetes load balancers 2 years experience aws gcp strong advocate process automation tools like ansible salt terraform etc management securityhardened production workloads scripting skills bash python stand experience cloud offsite data centre migrations experience offsite colo providers experience trading systems infrastructure experience building developer tooling scripts applications familiarity golang andor nodejs benefits unique opportunity work interesting projects small focused ambitious team informal nonhierarchical ambitious collaborative company culture shared mission vision work latest technology equipment web3 stack dedicated budgets flexible working hours annual team retreat competitive salaries
3517,job description design develop complex quantitative models create automated trading marketmaking strategies syndr lp pools strategy vaults research trading datasets discover market trends patterns defi exchange users collaborate various teams optimize platform models risk pricing engage development gradually focus research develop tools performance measurement risk management ideal candidate requirements proficiency python golang experience algorithmic trading especially equityforex derivatives marketmaking indepth knowledge derivatives contracts european options futures perpetuals realworld experience derivatives pricing hedging risk models greeks former quantitative developer professional experience familiarity jupyter notebooks postman postgres strong mathematical statistical problemsolving abilities stand experience crypto derivatives trading platforms like deribitparadigm prior trading experience traditional cryptodefi markets knowledge derivative products futures options perpetuals experience nontrading defi products swaps lending etc background trading systems infrastructure proficiency fix apis values work serious commitment product brand autonomy address issues immediately emphasis extreme ownership focus longterm goals clear communication egos lead example clear agendas outcomes meetings usercentric prioritization benefits unique opportunity responsibility ownership small ambitious team great company culture informal ambitious highly professional shared mission collaborative environment access latest technology equipment web3 resources flexible working hours annual team retreat competitive salaries
3493,job description gnosis pay seeking talented full stack software engineer europe join remote team pivotal part mission pioneer first decentralized payment network dpn creation inaugural selfcustodial debit card contribute enabling smart contractlinked debit cards function universally debit cards accepted paving way crypto holders utilize assets everyday transactions effortlessly ideal candidate perfect candidate role professional possessing passion melding web3 innovations traditional finance sector experience strong interest decentralized products cryptosystems ability thrive global distributed team environment drive part bold vision transform payment systems readiness contribute tightknit culture working remotely benefits join gnosis pay become part company values employees offers competitive salaries reflective invaluable contribution flexibility work remotely options visit offices london lisbon opportunity forefront integrating web3 traditional finance systems experience part team deep industry expertise managing 50b assets supportive innovative workplace culture ideas contributions valued join us gnosis pay make difference landscape payments combining expertise cuttingedge vision apply take leap future finance
3428,sticker mule sticker mule internets kick ass brand privatelyowned profitable powered globally distributed team enjoys building happy customer experience highest technical standards software team operates 17 countries always looking exceptional engineers see teams offer remote work flexible schedules privately owned lowstress culture fun bullshit work environment like know docker ruby rails typescript nodejs graphql postgres redis familiarity react excellent communication skills english degree computer science equivalent practical experience challenges improve expand graphql apis migrate large rails code base nodejs services maintain optimal backend performance compensation benefits salary 135k based experience 20000 signing bonus 4 weeks vacation holidays based country residence
3317,hiro build developer tools bring web3 bitcoin suite tools unlocks full potential bitcoin smart contracts digital assets decentralized applications hiro tools developers test deploy smart contracts spin nodes serverside resources scaling building bitcoin hard hiros developer tools make easier proud say hiro 3 built ins best places work awards including best places work nyc best places work small companies best paying companies nyc hiro funded backed 75 million union square ventures combinator lux capital winklevoss capital naval ravikant others
3251,job appwrite looking developer advocate strong technical background social media skills role educate engage developers creating sharing technical content demos across social platforms work include writing technical articles producing video shorts demonstrate technical concepts repurposing technical content social media posts role requires deep understanding technology ability communicate effectively developers ideal passion opensource communities position offers opportunity thrive fastpaced startup environment part diverse devrel team youll play key role collaborative environment complementing skills team members responsibilities actively engage developer community various channels including online forums social media developer events foster positive collaborative relationship developers understand needs challenges maintain active engaging presence relevant community channels opensource repositories produce engaging technical content tailored social media platforms including video shorts blog posts social posts help developers understand utilize product technologies work closely teams including engineering support growth ensure unified approach advocating supporting developers represent appwrite developer conferences meetups relevant events organize participate hackathons meetups developerfocused events provide support guidance developers using appwrite collaborate engineering support team provide efficient technical resolutions work closely growth team assist tracking reporting key metrics including developer feedback contentsocial engagement requirements least 2 years software engineering experience including experience working least 2 programming languages development tools js ts php python ruby dart kotlin swift developer advocacy experience similar experience experience growing nurturing online communities excellent communication presentation skills ability articulate complex technical concepts clearly written verbal forms passion technology open source community engagement strong ability work effectively diverse global team experience remote collaboration tools practices plus ability learn adapt fastpaced rapidly evolving tech environment understanding developer workflows challenges proven ability create technical content code demos experience video editing producing highquality video content video shorts repurposing videos clips experience cloud platforms services previous contributions opensource projects benefits 100 remote entire company distributed take remote work seriously youd rather work home cover cost coworking office space stock options get generous stock options company growing blazing fast backed top vcs flexible hours days remote team working different time zones utc0600 utc0600 choose hours days work best healthcare employees receive generous medical dental vision life insurance fulltime contractors cost healthcare factored salary recruiting team help confirm applies github sponsorship choice would love give annual sponsorship github project choice learning appwrite provides 3000 usd employees attend conferences take classes otherwise education gatherings typically meet couple times year person work fun next location nyc london la barcelona help us decide top notch equipment appwrite let choose new laptop choice 3000 usd reimburse 500 usd office expenses unlimited swags appwrite really love swags new team member gets unlimited credits grab official appwrite swag wish
3100,job description remote position moonward capital moonward capital pioneering crypto asset management firm mission empower global community leveraging innovative financial solutions crypto space positively impacting lives shaping future digital finance seeking forwardthinking techsavvy chief technology officer cto join team role cto responsible identifying adopting emerging technologies relevant crypto blockchain industry develop maintain companys technological infrastructure also collaborate chief investment officer cio optimizing trading strategies technology integration responsibilities identify adopt emerging technologies relevant crypto blockchain industry develop maintain companys technological infrastructure collaborate cio optimizing trading strategies technology integration manage cybersecurity measures protect sensitive company client data build lead competent technical team capable meeting companys needs stay abreast technological advancements regulatory changes crypto space requirements proven experience cto similar leadership role tech sector deep understanding crypto market blockchain technology ai tools strong analytical problemsolving skills excellent leadership communication abilities ability work fastpaced remote environment degree computer science engineering related field benefits competitive compensation package equity options opportunity shape future digital finance fully remote work environment collaborative growthoriented culture relocation assistance passionate crypto space want make significant impact world digital finance would love hear apply today join team moonward capital moonward capital equal opportunity employer celebrate diversity committed creating inclusive environment employees listed web3 jobs remote crypto jobs ai web3 jobs nft crypto jobs devops crypto jobs cto web3 jobs defi crypto jobs finance web3 jobs c web3 jobs web3 web3 jobs full time crypto jobs uiux crypto jobs
3098,rampcom est compensation 150kyr series 300 employees location argentina stack react vite styled components ramp youll need minimum 5 years frontend engineering experience proficiency javascript react desire work fastpaced environment continuously grow master craft role differs full time position main responsibility solving purely technical tasks backlog issues implementations lighten burden product teams interview process shorter faster interview process ramp topofmarket company wants find candidates align values skills experience 1 silverdev screening 1 automated screener challenge 30 minutes 2 recruiter screening job history english work experience 3 live coding interview 2 ramp interview process screening 1 live coding interview 2 recruiter screening listed crypto jobs remote crypto jobs web3 web3 jobs full time web3 jobs developer web3 jobs engineering web3 jobs react web3 jobs javascript crypto jobs recruiter web3 jobs frontend web3 jobs
3095,rampcom est compensation 150kyr series 300 employees location argentina stack python golang javascript ramp youll need minimum 5 years backend engineering experience proficiency python go java desire work fastpaced environment continuously grow master craft role differs full time position main responsibility handling integrations thirdparty services interview process shorter faster interview process ramp topofmarket company wants find candidates align values skills experience 1 silverdev screening 1 automated screener challenge 30 minutes 2 recruiter screening job history english work experience 3 live coding interview 2 ramp interview process screening 1 live coding interview 2 recruiter screening listed cryptocurrency jobs remote crypto jobs web3 crypto jobs full time crypto jobs developer web3 jobs engineering web3 jobs golang crypto jobs python web3 jobs javascript crypto jobs recruiter crypto jobs java crypto jobs
3084,building talent pool highly skilled backend engineers meet growing demands portfolio startups joining talent pool considered future backend engineering roles align expertise career aspirations also get free technical behavioral assessment session feedback need looking new position apply qualifications 5 years experience 3y startup english b2 level higher first certificate already working english environment deep expertise backend language like javascript ruby golang python target salary range 60000 200000 per year assess following way 1 comprehensive behavioral interview recruiter screening 2 takehome evaluation target 80k year 3 live coding exercise target 80k year listed web3 jobs remote crypto jobs web3 web3 jobs developer crypto jobs engineering web3 jobs golang crypto jobs python web3 jobs javascript crypto jobs recruiter web3 jobs ruby crypto jobs startup web3 jobs full time web3 jobs
3081,python bot developer play crucial role designing developing maintaining intelligent bots automate trades enhance trading experience responsible creating efficient scalable reliable pythonbased bot solutions integrate various cryptoweb3 platforms systems expertise contribute optimization business processes improvement user experiences key responsibilities 1 bot development design implement pythonbased bots automate trades streamline crypto trading develop intelligent bots capable natural language processing nlp effective trading strategies 1 integration integrate bots existing trading systems applications platforms ensure seamless operation collaborate developers teams incorporate bot functionality broader trading platform 1 algorithm design create trading algorithms decisionmaking problemsolving within bot functionalities implement machine learning ai techniques enhance bots learning adaptability 1 natural language processing nlp utilize nlp techniques enable bots understand respond user queries commands related trading continuously improve nlp models enhance performance 1 testing debugging conduct thorough testing bot functionalities identify resolve issues bugs collaborate quality assurance teams ensure reliability performance developed bots 1 documentation create comprehensive documentation bot development including code documentation user guides system architecture documentation 1 collaboration work closely crossfunctional teams including product managers uxui designers developers ensure successful integration bot solutions 1 stay updated stay informed latest trends advancements bot development trading python programming artificial intelligence qualifications 1 bachelors degree computer science software engineering related field 2 proven experience python development focus bot development trading 3 strong understanding natural language processing nlp machine learning concepts 4 familiarity bot frameworks platforms 5 experience integrating bots apis thirdparty services smart contracts 6 excellent problemsolving debugging skills 7 strong communication collaboration skills 8 ability work dynamic fastpaced environment benefits competitive salary opportunities professional development dynamic inclusive work environment listed cryptocurrency jobs trading crypto jobs developer crypto jobs machine learning crypto jobs ai web3 jobs web3 crypto jobs python web3 jobs full time web3 jobs remote crypto jobs
3082,we3 leading professional network women nonbinary individuals forefront technology starting web3 main pillars center around community talent professional development role apply position fasttracked introduced software engineering opportunities top web3 partners get automatic membership we3 industry experience software engineering discipline strong interest learning web3 already experience support advocate gender diversity technology we3 works leading web3 companies champion align mission 5050 supporting women nonbinary individuals reach 50 leadership roles asset ownership listed web3 jobs remote web3 jobs web3 crypto jobs non tech crypto jobs community crypto jobs developer web3 jobs engineering web3 jobs full time crypto jobs
3080,series c combinator wellness company est compensation 100k usd series c 100 employees location argentina uruguay roles mobile stack react native react typescript company available silverdev partner direct engagement details company interview process opportunity made available first meeting gabriel one famous hardware companies yc significant investment one best vc funds founders fund encourage ambitious ownershipdriven engineers apply information youll need 4 years mobile experience 2 years react native experience experience iosandroid experience working team multiple mobile engineers interview process 1 hiring manager screening 45 min 2 take home challenge 3 take home review technical panel 4 three different screenings team members 30 min 5 cto screening 30 min ceo screening 30 min listed cryptocurrency jobs remote web3 jobs web3 web3 jobs developer web3 jobs react web3 jobs typescript crypto jobs react native crypto jobs manager web3 jobs venture capital web3 jobs ios crypto jobs cto web3 jobs android web3 jobs full time crypto jobs
3077,building talent pool highly skilled frontend engineers meet growing demands portfolio startups joining talent pool considered future frontend engineering roles align expertise career aspirations also get free technical behavioral assessment session feedback need looking new position apply qualifications 5 years experience 3y startup english b2 level higher first certificate already working english environment react angular expertise target salary range 60000 200000 per year assess following way 1 comprehensive behavioral interview recruiter screening 2 takehome evaluation target 80k year 3 live coding exercise target 80k year listed crypto jobs remote crypto jobs web3 crypto jobs developer crypto jobs engineering crypto jobs react web3 jobs recruiter web3 jobs frontend crypto jobs startup web3 jobs full time crypto jobs
